aba 阿爸
yanzou 演奏
yanzoujia 演奏家
yanhen 厌恨
yanjuan 厌倦
yanxue 验血
yantai 砚台
yandian 唁电
yanyangtian 艳阳天
yanchaoji 验钞机
yanmingzhengshen 验明正身
yanpiao 验票
yanguobamao 雁过拔毛
yanhang 雁行
yanzhen 雁阵
yanque 燕雀
yanweifu 燕尾服
yanghang 洋行
yanggao 样稿
yangqiu 央求
yangyangdaguo 泱泱大国
yangji 仰给
yangjichiyu 殃及池鱼
yangzi 秧子
yang 漾
yangge 秧歌
yanggeju 秧歌剧
yangmiao 秧苗
yangtian 秧田
yangbian 扬鞭
yangbo 扬波
yangchang 扬场
yangchangbiduan 扬长避短
yangchangerqu 扬长而去
yangchen 扬尘
yangcheng 仰承
yangfan 扬帆
yanghua 扬花
yangju 扬剧
yangmeituqi 扬眉吐气
yangming 扬名
yangqi 养气
yangqin 扬琴
yangshengqi 扬声器
yangshou 阳寿
yangshuizhan 扬水站
yangtangzhifei 扬汤止沸
yangwei 阳痿
yangyan 养眼
yangzie 扬子鳄
yangchangxiaodao 羊肠小道
yanggeng 羊羹
yangguan 羊倌
yanghao 羊毫
yangjiaofeng 羊角风
yangmaoshan 羊毛衫
yangmaotan 羊毛毯
yangnai 羊奶
yangpifa 羊皮筏
yangpizhi 羊皮纸
yangquan 羊圈
yangrongshan 羊绒衫
yangrouchuan 羊肉串
yangshui 羊水
yangchun 阳春
yangchunbaixue 阳春白雪
yangchunmian 阳春面
yangdian 阳电
yangfengyinwei 阳奉阴违
yanggang 阳刚
yanggangzhiqi 阳刚之气
yanggou 阳沟
yangguandadao 阳关大道
yangguang 仰光
yangjian 阳间
yanglizi 阳离子
yangli 阳历
yanglinian 阳历年
yangmian 阳面
yangpo 阳坡
yangsan 阳伞
yangshi 阳世
yangtai 阳台
yangwen 阳文
yangxing 养性
yangxu 阳虚
yangshu 样书
yangliu 洋流
yangmei 杨梅
yangmu 杨木
yangtao 杨桃
yangbai 佯败
yanggong 佯攻
yangzhuang 洋装
yangzuo 佯作
yanghui 洋灰
yangcai 洋财
yangche 洋车
yangcong 洋葱
yangfang 洋房
yangfu 养父
yangguizi 洋鬼子
yanghong 洋红
yanghuai 洋槐
yanghuo 洋火
yangjingbang 洋泾浜
yangjiu 洋酒
yangla 洋蜡
yangliyangqi 洋里洋气
yanglou 洋楼
yangnu 洋奴
yangqian 洋钱
yangqiangyangdiao 洋腔洋调
yangren 养人
yangtie 洋铁
yangwawa 洋娃娃
yangweizhongyong 洋为中用
yangweier 洋味儿
yangwu 洋务
yangxiang 洋相
yangyang 洋洋
yangyangdaguan 洋洋大观
yangyangdeyi 洋洋得意
yangyangsasa 洋洋洒洒
yangyangzide 洋洋自得
yangyi 洋溢
yangyou 洋油
yangyu 洋芋
yangbacha 仰八叉
yangkao 仰靠
yanglai 仰赖
yangrenbixi 仰人鼻息
yangtang 仰躺
yangtou 仰头
yangwang 仰望
yangwo 仰卧
yangwoqizuo 仰卧起坐
yangyong 仰泳
yangzhang 仰仗
yangshen 养神
yangzhiye 养殖业
yanglian 养廉
yangbing 养兵
yangchu 养畜
yangfen 养分
yangfumu 养父母
yanghan 养汉
yanghuyihuan 养虎遗患
yanghu 养护
yangjia 养家
yangjiahukou 养家糊口
yangjingxurui 养精蓄锐
yanglao 养老
yanglaojin 养老金
yanglaoyuan 养老院
yangliao 养料
yanglu 养路
yanglufei 养路费
yanglugong 养路工
yangnv 养女
yangshang 养伤
yangsheng 养生
yangxi 养息
yangxin 养心
yangzhi 养殖
yangzhichang 养殖场
yangzunchuyou 养尊处优
yangba 氧吧
yanghuaji 氧化剂
yanghuawu 氧化物
yangqiping 氧气瓶
yangyangbule 怏怏不乐
yangban 样板
yangbanxi 样板戏
yangben 样本
yangdai 样带
yangpian 样片
yangpin 样品
yao 幺
yaowang 夭亡
yaozhe 要著
yaohe 咬合
yaohu 吆呼
yaohuan 吆唤
yaowuheliu 吆五喝六
yaofa 妖法
yaofeng 妖风
yaoguai 妖怪
yaojing 妖精
yaoliyaoqi 妖里妖气
yaomei 妖媚
yaomo 妖魔
yaomoguiguai 妖魔鬼怪
yaonie 妖孽
yaopo 妖婆
yaoqi 妖气
yaorao 妖娆
yaoshu 妖术
yaowu 妖雾
yaoyan 谣谚
yaoyanhuozhong 妖言惑众
yaoye 妖冶
yaobaner 腰板儿
yaobao 腰包
yaobu 药补
yaochanwanguan 腰缠万贯
yaodai 腰袋
yaodao 腰刀
yaoganzi 腰杆子
yaogu 腰鼓
yaoguo 腰果
yaohua 腰花
yaojilaosun 腰肌劳损
yaoshen 腰身
yaosuan 腰酸
yaowei 药味
yaozhan 腰斩
yaozhi 遥指
yaozhui 腰椎
yaozi 要子
yaoqingsai 邀请赛
yaochong 邀宠
yaogong 药工
yaoji 邀集
yaoqing 邀请
yaoqingxin 邀请信
yaoshang 邀赏
yaoyue 邀约
yaoqiu 要求
yaoxie 药械
yaoshun 尧舜
yaotianshunri 尧天舜日
yaojieer 窑姐儿
yaoding 窑顶
yaodong 摇动
yaokeng 窑坑
yaochuan 摇船
yaoyi 摇椅
yaobaiwu 摇摆舞
yaohuang 摇晃
yaoba 摇把
yaobai 摇摆
yaobiganer 摇笔杆儿
yaochungushe 摇唇鼓舌
yaodang 摇荡
yaoemaoshan 摇鹅毛扇
yaogun 摇滚
yaogunyue 摇滚乐
yaohan 摇撼
yaolan 摇篮
yaolanqu 摇篮曲
yaolu 摇橹
yaoqinahan 摇旗呐喊
yaoqianshu 摇钱树
yaoshenyibian 摇身一变
yaoshou 摇手
yaotou 摇头
yaotoubaiwei 摇头摆尾
yaotouhuangnao 摇头晃脑
yaotouwan 摇头丸
yaoweiqilian 摇尾乞怜
yaoyaoyuzhui 摇摇欲坠
yaoce 遥测
yaogan 遥感
yaokong 遥控
yaokongqi 遥控器
yaoxianghuying 遥相呼应
yaoxiang 遥想
yaoyao 遥遥
yaoyaolingxian 遥遥领先
yaoyaowuqi 遥遥无期
yaoyuan 要员
yaozhu 遥祝
yaochi 瑶池
yaomin 瑶民
yaozu 瑶族
yaoran 杳然
yaoruhuanghe 杳如黄鹤
yaowuyinxin 杳无音信
yaowuyinxun 杳无音讯
yaoerduo 咬耳朵
yaojinyaguan 咬紧牙关
yaoshe 咬舌
yaowenjiaozi 咬文嚼字
yaoyaqiechi 咬牙切齿
yaozui 咬嘴
yaotiao 窈窕
yaoli 药力
yaoshan 药膳
yaoxing 药性
yaocai 药材
yaocao 药草
yaocha 药茶
yaodian 药典
yaoer 药饵
yaofang 药方
yaofei 药费
yaofen 药粉
yaogao 药膏
yaoguanzi 药罐子
yaohai 药害
yaojishi 药剂师
yaojian 药检
yaojiu 药酒
yaoju 药具
yaomian 药面
yaonianzi 药捻子
yaonong 药农
yaopian 药片
yaopin 药品
yaoping 药瓶
yaopu 药铺
yaoshi 药石
yaoshui 药水
yaowan 药丸
yaoxiao 药效
yaoyinzi 药引子
yaoyong 药用
yaoyu 药浴
yaozao 药皂
yaozha 药渣
yaozhen 药针
yaoai 要隘
yaoan 要案
yaobude 要不得
yaoburan 要不然
yaobushi 要不是
yaode 要得
yaodi 要地
yaoduan 要端
yaofan 要犯
yaohao 要好
yaojia 要价
yaojin 要津
yaojue 要诀
yaolian 要脸
yaoling 要领
yaolue 要略
yaome 要么
yaomianzi 要面子
yaoming 要命
yaomu 要目
yaoqiang 要强
yaoren 要人
yaosai 要塞
yaosi 要死
yaosibuhuo 要死不活
yaosu 要素
yaotu 要图
yaowen 要闻
yaoyanbufan 要言不烦
yaoze 要则
yaozhang 要账
yaoying 鹞鹰
yaoban 耀斑
yaowuyangwei 耀武扬威
yelin 椰林
yerong 椰蓉
yeshu 椰树
yezao 椰枣
yezhi 野雉
yezi 椰子
ye 腋
yehehua 耶和华
yesu 夜宿
yesujiao 耶稣教
yeer 爷儿
yemener 爷们儿
yeniang 爷娘
yeye 爷爷
yeyu 揶揄
yeba 也罢
yehao 也好
yejiushishuo 也就是说
yeshi 业师
yexu 也许
yejin 冶金
yelian 冶炼
yezhu 冶铸
yegou 野狗
yeniu 野牛
yecai 野菜
yecan 夜餐
yecao 野草
yechui 野炊
yedi 野地
yeguo 野果
yehanzi 野汉子
yehua 夜话
yehuo 野火
yeji 野鸡
yelv 野驴
yema 页码
yeman 野蛮
yemao 腋毛
yeputao 野葡萄
yeqiangwei 野蔷薇
yequ 夜曲
yeren 野人
yeshancan 野山参
yesheng 野生
yeshou 野兽
yetu 野兔
yewai 野外
yewei 野味
yewu 野物
yexin 野心
yexinbobo 野心勃勃
yexinjia 野心家
yexing 夜行
yeya 叶芽
yeying 野营
yezhan 夜战
yezhanjun 野战军
yezhanyiyuan 野战医院
yezhong 野种
yeyan 咽炎
yeda 业大
yejing 业经
yejingyuqin 业精于勤
yenei 业内
yewuyuan 业务员
yeyi 业已
yegonghaolong 叶公好龙
yelun 叶轮
yeluoguigen 叶落归根
yelvsu 叶绿素
yemai 叶脉
yemian 叶面
yepian 叶片
yesuan 叶酸
yeyun 叶韵
yeziyan 叶子烟
yeguangdan 曳光弹
yehang 夜航
yemangzheng 夜盲症
yeban 夜半
yebubihu 夜不闭户
yecha 夜叉
yechangmengduo 夜长梦多
yechang 夜场
yeche 夜车
yedaxue 夜大学
yefan 夜饭
yegong 夜工
yeguangbei 夜光杯
yeguangbiao 夜光表
yehu 夜壶
yejian 谒见
yekong 夜空
yelaixiang 夜来香
yelan 夜阑
yelangzida 夜郎自大
yeli 夜里
yemaozi 夜猫子
yemingzhu 夜明珠
yemu 夜幕
yese 夜色
yeshenrenjing 夜深人静
yeshenghuo 夜生活
yeshiyi 夜视仪
yewan 夜晚
yexi 夜袭
yexiao 夜宵
yeyijiri 夜以继日
yeyou 夜游
yeyoushen 夜游神
yezonghui 夜总会
yedan 液氮
yehuaqi 液化气
yetai 液态
yeti 液体
yechou 腋臭
yewo 腋窝
yexia 腋下
yiyidaishui 一衣带水
yiyiguxing 一意孤行
yiguanxing 一贯性
yidianer 一点儿
yigunzidasi 一棍子打死
yierjiuyundong 一二·九运动
yiguoduan 一锅端
yiying 一应
yigai 一改
yiguozhou 一锅粥
yiyingjuquan 一应俱全
yigujiner 一股劲儿
yiguozhu 一锅煮
yiguoliangzhi 一国两制
yiyudaopo 一语道破
yihongershang 一哄而上
yihongerqi 一哄而起
yihongersan 一哄而散
yihubainuo 一呼百诺
yiqiuzhihe 一丘之貉
yimenxinsi 一门心思
yiren 怡人
yinianbanzai 一年半载
yiri 异日
yipaodaxiang 一炮打响
yiriqianli 一日千里
yiqie 一切
yiru 移入
yirujiwang 一如既往
yisaoerguang 一扫而光
yisaoerkong 一扫而空
yise 一色
yisha 一霎
yiyan 异言
yiwusuohuo 一无所获
yiyanghuatan 一氧化碳
yixitan 一席谈
yiyang 抑扬
yixie 一些
yiyezhiqiu 一叶知秋
yiyannanjin 一言难尽
yiyi 奕奕
yi 奕
yibahaoshou 一把好手
yibashou 一把手
yibazhua 一把抓
yibaitudi 一败涂地
yiban 一斑
yibanhua 一般化
yibanjianshi 一般见识
yibanlaishuo 一般来说
yibanyiyan 一板一眼
yibantian 一半天
yibaoyanfu 一饱眼福
yibeizi 一辈子
yibenzhengjing 一本正经
yibikongchuqi 一鼻孔出气
yibidaiguo 一笔带过
yibigouxiao 一笔勾销
yibimosha 一笔抹杀
yibizhili 一臂之力
yibian 以便
yibiandao 一边倒
yibiaorencai 一表人才
yibing 癔病
yibingbuqi 一病不起
yibosanzhe 一波三折
yibudaowei 一步到位
yibudengtian 一步登天
yibufen 一部分
yice 臆测
yichaercuo 一差二错
yichana 一刹那
yichangkong 一场空
yichangbaihe 一唱百和
yichangyihe 一唱一和
yichenburan 一尘不染
yichengbubian 一成不变
yichengzi 一程子
yichoumozhan 一筹莫展
yichujifa 一触即发
yichujikui 一触即溃
yichuidingyin 一锤定音
yichuizimaimai 一锤子买卖
yicixing 一次性
yicuerjiu 一蹴而就
yidapi 一大批
yidazao 一大早
yidai 衣带
yidaoliangduan 一刀两断
yidaoqie 一刀切
yidao 驿道
yidezhijian 一得之见
yidianyidi 一点一滴
yidingdianer 一丁点儿
yiding 议定
yidingzhigui 一定之规
yidongbudong 一动不动
yidu 异读
yiduzi 一肚子
yiduoban 一多半
yier 一二
yifaqianjun 一发千钧
yifan 疑犯
yifanfengshun 一帆风顺
yifanchangtai 一反常态
yifang 移防
yifangmian 一方面
yifenweier 一分为二
yifengchui 一风吹
yigaierlun 一概而论
yigan 一干
yiganerjing 一干二净
yiganzichadaodi 一竿子插到底
yigejiner 一个劲儿
yigenjin 一根筋
yigexinyaner 一个心眼儿
yigong 义工
yigulu 一骨碌
yigunaoer 一股脑儿
yiguzuoqi 一鼓作气
yiguan 衣冠
yiguandao 一贯道
yihubaiying 一呼百应
yihuang 一晃
yihuierjiu 一挥而就
yihuishi 一回事
yihuier 一会儿
yihuoer 一伙儿
yiji 艺妓
yijizhichang 一技之长
yijiaren 一家人
yijiayihu 一家一户
yijiazhiyan 一家之言
yijiazi 一家子
yijianqingxin 一见倾心
yijianrugu 一见如故
yijianshuangdiao 一箭双雕
yijianzhongqing 一见钟情
yijiao 遗教
yijing 遗精
yiju 疑惧
yijuchengming 一举成名
yijuliangde 一举两得
yijuebuzhen 一蹶不振
yijuecixiong 一决雌雄
yikongzhijian 一孔之见
yikou 衣扣
yikouqi 一口气
yikuaier 一块儿
yilaierqu 一来二去
yilan 一览
yilanbiao 一览表
yilanwuyu 一览无余
yilanzi 一揽子
yilaoyongyi 一劳永逸
yilian 依恋
yilianchuan 一连串
yilianqier 一连气儿
yiliaobailiao 一了百了
yilinbanzhao 一鳞半爪
yiliu 遗留
yiliuer 一溜儿
yiliuyan 一溜烟
yilu 一路
yiluhuo 一路货
yilushunfeng 一路顺风
yiluoqianzhang 一落千丈
yilv 疑虑
yimadangxian 一马当先
yimapingchuan 一马平川
yimashi 一码事
yimaixiangcheng 一脉相承
yimaixiangchuan 一脉相传
yimaixiangtong 一脉相通
yimaobuba 一毛不拔
yimixian 一米线
yimian 以免
yimianzhici 一面之词
yimianzhijiao 一面之交
yimingjingren 一鸣惊人
yimingwuhu 一命呜呼
yimuyiyang 一模一样
yimuliaoran 一目了然
yimushihang 一目十行
yiniandaotou 一年到头
yiniansheng 一年生
yinianzhicha 一念之差
yinuoqianjin 一诺千金
yipaijihe 一拍即合
yipai 一派
yipanqi 一盘棋
yipansansha 一盘散沙
yipang 一旁
yipianbingxin 一片冰心
yipie 一瞥
yipinruxi 一贫如洗
yipinhong 一品红
yiqi 义旗
yiqihecheng 一气呵成
yiqianbuzhi 一钱不值
yiqiaobutong 一窍不通
yiqingerbai 一清二白
yiqingerchu 一清二楚
yiqingzao 一清早
yiqiongerbai 一穷二白
yishannian 一闪念
yishen 一身
yisheng 一生
yishengbuxiang 一声不响
yishengyishi 一生一世
yishizuchengqianguhen 一失足成千古恨
yishi 佚失
yishibanhuier 一时半会儿
yishibanke 一时半刻
yishierniao 一石二鸟
yishijian 一时间
yishiyike 一时一刻
yishitongren 一视同仁
yishiwucheng 一事无成
yishou 益寿
yishoubaoban 一手包办
yishouzhetian 一手遮天
yishuier 一水儿
yishun 依顺
yishuner 一顺儿
yishunjian 一瞬间
yisibugou 一丝不苟
yisibugua 一丝不挂
yisu 一宿
yitahutu 一塌糊涂
yitansishui 一潭死水
yitao 一套
yiti 异体
yitihua 一体化
yitiandaowan 一天到晚
yitiaolong 一条龙
yitiaoxin 一条心
yitongbaitong 一通百通
yitong 异同
yitongtianxia 一统天下
yitou 一头
yitouwushui 一头雾水
yituweikuai 一吐为快
yituanheqi 一团和气
yituanqihei 一团漆黑
yituanzao 一团糟
yiwanshuiduanping 一碗水端平
yiwangdajin 一网打尽
yiwangqingshen 一往情深
yiwangwuqian 一往无前
yiwangwubian 一望无边
yiwangwuji 一望无际
yiwangwuyin 一望无垠
yiwei 易位
yiwenbuming 一文不名
yiwofeng 一窝蜂
yiwushichu 一无是处
yiwusuode 一无所得
yiwusuojian 一无所见
yiwusuoneng 一无所能
yiwusuoqiu 一无所求
yiwusuoyou 一无所有
yiwusuozhi 一无所知
yiwuyishi 一五一十
yiwuxiangyiwu 一物降一物
yixishangcun 一息尚存
yixihua 一席话
yixizhidi 一席之地
yixilie 一系列
yixia 意下
yixianshenshou 一显身手
yixian 胰腺
yixiangqingyuan 一厢情愿
yixiang 义项
yixiaocuo 一小撮
yixiaozhizhi 一笑置之
yixieqianli 一泻千里
yixin 异心
yixinyide 一心一德
yixinyiyi 一心一意
yixingbandianer 一星半点儿
yixinger 一星儿
yixing 易姓
yiyanjiuding 一言九鼎
yiyantang 一言堂
yiyanweiding 一言为定
yiyanyixing 一言一行
yiyanyibizhi 一言以蔽之
yiyupodi 一语破的
yiyushuangguan 一语双关
yiyuzhongdi 一语中的
yiyuanhua 一元化
yizai 移栽
yizao 臆造
yizhayan 一眨眼
yizhanshenshou 一展身手
yizhangyichi 一张一弛
yizhao 遗照
yizhaoyixi 一朝一夕
yizhe 一者
yizhenjianxie 一针见血
yizhen 疑阵
yizhenfeng 一阵风
yizhenzi 一阵子
yizhenggaodi 一争高低
yizhengtao 一整套
yizheng 一怔
yizhibanjie 一知半解
yizhi 易帜
yizhikongwen 一纸空文
yizhiqianjin 一掷千金
yizhuanduoneng 一专多能
yizhuanyiwa 一砖一瓦
yizhuanyan 一转眼
yizhun 一准
yizichangshezhen 一字长蛇阵
yiziqianjin 一字千金
yizong 一总
yizouliaozhi 一走了之
yidianyuan 伊甸园
yisilanbao 伊斯兰堡
yisilanjiao 伊斯兰教
yishang 衣裳
yibai 衣摆
yibo 衣钵
yibubiti 衣不蔽体
yibujiedai 衣不解带
yichu 役畜
yidou 疑窦
yifu 义父
yigou 议购
yiguanchuchu 衣冠楚楚
yiguanqinshou 衣冠禽兽
yiguanzhong 衣冠冢
yigui 衣柜
yijia 议价
yijin 以近
yijinhuanxiang 衣锦还乡
yiku 衣裤
yiliao 衣料
yiling 衣领
yimaojian 衣帽间
yiqun 衣裙
yishan 衣衫
yishizhuxing 衣食住行
yiwu 异物
yixiu 衣袖
yizhuo 衣着
yixue 义学
yiyao 医药
yiyuan 以远
yizhu 译注
yian 医案
yide 医德
yihu 医护
yike 医科
yili 医理
yiliaodui 医疗队
yishu 译述
yiwushi 医务室
yibang 异邦
yicileitui 依此类推
yici 以次
yicong 依从
yicun 遗存
yifa 益发
yijiu 依旧
yikao 倚靠
yilai 倚赖
yiping 依凭
yiran 屹然
yiranguwo 依然故我
yiranrugu 依然如故
yishanbangshui 依山傍水
yituo 依托
yixi 议席
yiyibushe 依依不舍
yiyixibie 依依惜别
yizhang 倚仗
yiya 咿呀
yirang 揖让
yibiao 姨表
yibiaotangtang 仪表堂堂
yirong 仪容
yitai 意态
yitaiwanfang 仪态万方
yizhangdui 仪仗队
yimie 夷灭
yiweipingde 夷为平地
yiyu 呓语
yiyue 怡悦
yitang 饴糖
yinainai 姨奶奶
yima 译码
yimei 姨妹
yimu 义母
yiniang 姨娘
yitaitai 姨太太
yihai 遗害
yihaiwuqiong 贻害无穷
yihuan 贻患
yixiaodafang 贻笑大方
yidaosu 胰岛素
yixianyan 胰腺炎
yizang 胰脏
yizi 胰子
yisong 移送
yidong 以东
yidongba 移动靶
yidongdianhua 移动电话
yidongshi 移动式
yifengyisu 移风易俗
yihuajiemu 移花接木
yimin 移民
yiqing 移情
yishandaohai 移山倒海
yiyong 移用
yichan 遗产
yichanshui 遗产税
yichouwannian 遗臭万年
yichuan 遗传
yichuangongcheng 遗传工程
yichuanyinzi 遗传因子
yifeng 遗风
yifuzi 遗腹子
yigao 遗稿
yigu 遗孤
yihan 遗憾
yihen 遗恨
yihuo 遗祸
yilao 遗老
yilou 遗漏
yiluo 遗落
yimo 遗墨
yique 遗缺
yishao 遗少
yishuang 遗孀
yiwang 已往
yiwen 彝文
yixun 遗训
yiye 遗业
yizeng 遗赠
yizu 遗族
yizuo 遗作
yiyangtiannian 颐养天年
yizhiqishi 颐指气使
yiyun 疑云
yidian 译电
yinan 疑难
yishenyigui 疑神疑鬼
yisi 疑似
yituan 疑团
yixinbing 疑心病
yimi 薏米
yinao 乙脑
yihun 已婚
yibei 以北
yibaoyibao 以暴易暴
yichengxiangdai 以诚相待
yidebaoyuan 以德报怨
yidugongdu 以毒攻毒
yiechuane 以讹传讹
yifangbuce 以防不测
yifangwanyi 以防万一
yigongdaigan 以工代干
yigongdaizhen 以工代赈
yigongweishou 以攻为守
yiguanhouxiao 以观后效
yihou 蚁后
yijialuanzhen 以假乱真
yijingxiaoyou 以儆效尤
yileiximian 以泪洗面
yilifuren 以理服人
yilixiangdai 以礼相待
yiliyu 以利于
yilinweihe 以邻为壑
yiluanjishi 以卵击石
yimaoquren 以貌取人
yinei 以内
yipiangaiquan 以偏概全
yiqian 以前
yiqianglingruo 以强凌弱
yiqiu 以求
yiquanmousi 以权谋私
yirenfeiyan 以人废言
yiroukegang 以柔克刚
yiruoshengqiang 以弱胜强
yishaoshengduo 以少胜多
yishenshifa 以身试法
yishenxiangxu 以身相许
yishenxuguo 以身许国
yishenxunzhi 以身殉职
yishenzuoze 以身作则
yituiweijin 以退为进
yiwai 意外
yixiaojianda 以小见大
yiyanhuanyanyiyahuanya 以眼还眼，以牙还牙
yiyidangshi 以一当十
yiyidailao 以逸待劳
yiyuanbaode 以怨报德
yizhengshiting 以正视听
yizhiyu 以致于
yiziguli 以资鼓励
yilaomailao 倚老卖老
yizhong 义冢
yini 旖旎
yifen 义愤
yiwujiaoyu 义务教育
yiburongci 义不容辞
yichi 义齿
yifentianying 义愤填膺
yihetuan 义和团
yijuan 义捐
yijun 义军
yimai 义卖
yinv 义女
yiwufangu 义无反顾
yiwubing 义务兵
yiwugong 义务工
yiwulaodong 义务劳动
yiyongjun 义勇军
yizhengciyan 义正词严
yiwan 亿万
yiwansinian 亿万斯年
yikusitian 忆苦思甜
yilin 艺林
yiming 佚名
yishujia 艺术家
yishupian 艺术片
yishupin 艺术品
yishuticao 艺术体操
yishuxing 艺术性
yishuzhao 艺术照
yitu 艺徒
yixiao 艺校
yicheng 议程
yidingshu 议定书
yierbujue 议而不决
yihe 议和
yihui 意会
yihuizhi 议会制
yijue 议决
yilun 议论
yilunwen 议论文
yibuyiqu 亦步亦趋
yizhuangyixie 亦庄亦谐
yiguo 异国
yiqutonggong 异曲同工
yicai 异才
yichang 异常
yidi 易地
yiduan 臆断
yiduanxieshuo 异端邪说
yiguotaxiang 异国他乡
yihuxunchang 异乎寻常
yihua 异化
yijian 异见
yijuntuqi 异军突起
yikoutongsheng 异口同声
yilei 异类
yiqu 逸趣
yitizi 异体字
yixiangtiankai 异想天开
yiyangduncuo 抑扬顿挫
yiyuzheng 抑郁症
yiben 译本
yijie 译介
yiyin 译音
yizhipian 译制片
yibao 易爆
yihuomaoyi 易货贸易
yiranwu 易燃物
yirufanzhang 易如反掌
yishounangong 易守难攻
yisun 易损
yizhan 驿站
yimiao 疫苗
yichong 益虫
yimucao 益母草
yiniao 益鸟
yiyou 益友
yinian 翌年
yishiliu 意识流
yidali 意大利
yijianbu 意见簿
yijianxiang 意见箱
yimaxinyuan 意马心猿
yiqifengfa 意气风发
yiqixiangtou 意气相投
yiqiyongshi 意气用事
yishixingtai 意识形态
yiweishenchang 意味深长
yiweizhe 意味着
yixiangshu 意向书
yiyouweijin 意犹未尽
yizaiyanwai 意在言外
yizhongren 意中人
yiyuyanbiao 溢于言表
yiranjueran 毅然决然
yishuo 臆说
yin 寅
yincaishijiao 因材施教
yinci 因此
yindizhiyi 因地制宜
yiner 印儿
yingong 阴功
yingu 因故
yinguo 因果
yinhuodefu 因祸得福
yinloujiujian 因陋就简
yinrenchengshi 因人成事
yinreneryi 因人而异
yinrenzhiyi 因人制宜
yinshizhiyi 因事制宜
yinshilidao 因势利导
yinsu 音速
yintewang 因特网
yinwei 淫猥
yinxi 印玺
yinxiaoshida 因小失大
yinxun 音讯
yinxunshoujiu 因循守旧
yinyefeishi 因噎废食
yinyou 印油
yinyuan 因缘
yinzhi 银质
yinzi 印子
yinjian 印件
yinmouguiji 阴谋诡计
yintian 阴天
yinde 阴德
yinanmian 阴暗面
yinbu 阴部
yincan 阴惨
yincao 阴曹
yinchayangcuo 阴差阳错
yinchen 阴沉
yinchenchen 阴沉沉
yincuoyangcha 阴错阳差
yindao 阴道
yindian 阴电
yindu 阴毒
yinfeng 阴风
yingan 阴干
yingou 阴沟
yinhui 阴晦
yinhun 银婚
yinji 隐疾
yinjing 阴茎
yinleng 阴冷
yinli 阴历
yinliang 荫凉
yinmai 阴霾
yinmao 阴毛
yinmen 阴门
yinmian 阴面
yinmou 阴谋
yinmoujia 阴谋家
yinnang 阴囊
yinping 阴平
yinrou 阴柔
yinsen 阴森
yinsensen 阴森森
yinshi 寅时
yinsi 阴司
yinwen 阴文
yinxian 隐现
yinxiao 阴笑
yinxing 阴性
yinxu 音序
yinyang 银洋
yinyangguaiqi 阴阳怪气
yinyangren 阴阳人
yinyangxiansheng 阴阳先生
yinying 阴影
yinyu 引语
yinyun 氤氲
yinzhai 阴宅
yinqin 姻亲
yinbi 隐避
yinyi 荫翳
yinbian 音变
yinbiao 音标
yinbo 音波
yincheng 音程
yindai 音带
yindiao 音调
yinfu 殷富
yingao 音高
yinhua 音画
yinjie 音阶
yinkong 音控
yinlv 音律
yinqu 音区
yinrong 音容
yinrongxiaomao 音容笑貌
yinse 印色
yinxiang 音箱
yinxiangzhipin 音像制品
yinxin 引信
yinyue 隐约
yinyuechazuo 音乐茶座
yinyuedianshi 音乐电视
yinyuehui 音乐会
yinyuejia 音乐家
yinyuejie 音乐界
yinyuepenquan 音乐喷泉
yinyuepian 音乐片
yinyueting 音乐厅
yinqie 殷切
yinyin 狺狺
yinya 喑哑
yinchang 吟唱
yine 吟哦
yinfengnongyue 吟风弄月
yinsong 吟诵
yinyong 吟咏
yinchimaoliang 寅吃卯粮
yinshu 淫书
yindang 淫荡
yingun 淫棍
yinluan 淫乱
yinqiao 淫巧
yinxie 淫亵
yinhang 引航
yingen 银根
yinchuan 银川
yinhe 银河
yinhexi 银河系
yinhong 银红
yinhu 银狐
yinhuanshe 银环蛇
yinhangka 银行卡
yinhao 引号
yinbai 银白
yinbei 银杯
yinding 银锭
yinfa 银发
yinfen 银粉
yinjiang 银奖
yinkuang 银矿
yinling 银铃
yinlou 银楼
yinmu 银幕
yinpai 银牌
yinpiao 银票
yinqi 饮泣
yinqian 银钱
yinsha 银杉
yinyan 饮宴
yinzhen 银针
yinzhijiang 银质奖
yinzhuang 银装
yinzuo 引座
yinqing 隐情
yinyizihao 引以自豪
yinbao 引爆
yinchan 引产
yindong 引动
yindou 引逗
yinerbufa 引而不发
yinhanggaoge 引吭高歌
yinhuo 引火
yinhuoshaoshen 引火烧身
yinhuoxian 引火线
yinjin 引进
yinjingjudian 引经据典
yinjiu 引咎
yinlangrushi 引狼入室
yinliu 引流
yinlu 引路
yinlun 引论
yinran 引燃
yinrenrusheng 引人入胜
yinrenshensi 引人深思
yinrenzhumu 引人瞩目
yinru 引入
yinshechudong 引蛇出洞
yinshen 隐身
yinshenyi 引申义
yinshui 引水
yintui 隐退
yinyiweijie 引以为戒
yinyiweirong 引以为荣
yinzheng 引证
yinzhong 隐衷
yinliao 饮料
yinshengkou 饮牲口
yinma 饮马
yinpian 饮片
yinpin 饮品
yinshiye 饮食业
yinshuisiyuan 饮水思源
yindan 饮弹
yinhen 饮恨
yinzhenzhike 饮鸩止渴
yincang 隐藏
yindun 隐遁
yineyangshan 隐恶扬善
yinhan 隐含
yinhuan 隐患
yinju 隐居
yinman 隐瞒
yinmi 隐秘
yinmo 隐没
yinni 印泥
yinren 隐忍
yinsiquan 隐私权
