hai है
aatmasukha आत्मसुख
aatmasukho आत्मसुखों
kalikaala कलिकाल
kalikaalo कलिकालों
durvaada दुर्वाद
durvaado दुर्वादों
durvaadee दुर्वादी
doro डोरों
doraa डोरा
dore डोरे
dalana डलन
dalanaa डलना
dalane डलने
kakaiyo कड़कड़ाइयो
kakave कड़कड़ावे
kakakara कड़कड़ाकर
kakae कड़कड़ाए
kakaegaa कड़कड़ाएगा
kakaegee कड़कड़ाएगी
kakaege कड़कड़ाएँगे
kakaoo कड़कड़ाऊँ
kakaoogaa कड़कड़ाऊँगा
kakaoogee कड़कड़ाऊँगी
kakaie कड़कड़ाइए
kakaiegaa कड़कड़ाइएगा
kakaiegee कड़कड़ाइएगी
kakaoge कड़कड़ाओगे
kakaogee कड़कड़ाओगी
tirosha तिरोश
doliyo डोलियो
dolo डोलो
dologe डोलोगे
dologee डोलोगी
dolegee डोलेगी
dolegaa डोलेगा
dolege डोलेंगे
doloo डोलूँ
doloogee डोलूँगी
doloogaa डोलूँगा
dolie डोलिए
doliegee डोलिएगी
doliegaa डोलिएगा
dolane डोलने
dolanaa डोलना
dolate डोलते
dolatee डोलती
dolataa डोलता
dolakara डोलकर
poornakaama पूर्णकाम
poornakaamo पूर्णकामों
chhatavara छतवर
uchchaadasheera उच्चादशीर
poornakaaya पूर्णकाय
haarpseekaarda हार्प्सीकार्ड
boochara बूचर
kaivartamusta कैवर्तमुस्त
poornakaala पूर्णकाल
akkha अक्खड़
akkhataa अक्खड़ता
chaitrarathya चैत्ररथ्य
antarnivishta अन्तर्निविष्ट
analikhaa अनलिखा
analikhee अनलिखी
mahaabhaaratapoorva महाभारतपूर्व
doha डोह
durvaara दुर्वार
bahabahaa बहबहा
sannaddheeya सन्नद्धीय
kudakka कुदक्कड़
shavaraka शवरक
alaktaka अलक्तक
alaktako अलक्तकों
kshobhajanaka क्षोभजनक
kshobhajanakataa क्षोभजनकता
daladalaahata दलदलाहट
akshikoota अक्षिकूट
arakriti अरंकृति
yooseeaaee यूसीआई
shachee शची
shachio शचिओं
niraalaka निरालक
charitraatmaka चरित्रात्मक
dalaa डला
dalaaiyo डलाइयो
dalaave डलावे
dalaakara डलाकर
dalaanaa डलाना
dalaane डलाने
dalaataa डलाता
dalaatee डलाती
dalaate डलाते
dalaae डलाए
dalaaegaa डलाएगा
dalaaegee डलाएगी
dalaaege डलाएँगे
dalaaoo डलाऊँ
dalaaoogaa डलाऊँगा
dalaaoogee डलाऊँगी
dalaaie डलाइए
dalaaiegaa डलाइएगा
dalaaiegee डलाइएगी
dalaao डलाओ
dalaaoge डलाओगे
dalaaogee डलाओगी
dale डले
kratuphala क्रतुफल
eeroda ईरोड
kritasvarna कृटस्वर्ण
plihaashatru प्लिहाशत्रु
jarneemaina जर्नीमैन
jarneemaino जर्नीमैनों
laghvaahaara लघ्वाहार
anaaeepathaaee अनाईपठाई
visheershaa विशीर्षा
khaste खस्ते
sailmanaanu सैल्मनाणु
jhapatthee झपट्ठी
shavaratha शवरथ
pattaadhaana पट्टाधान
ratijnya रतिज्ञ
ratijnyo रतिज्ञों
maulaveegeeree मौलवीगीरी
varko वर्कों
dishaayukta दिशायुक्त
dishaayuktataa दिशायुक्तता
inggalaa इङ्गला
vargavaalaa वर्गवाला
vargavaale वर्गवाले
vargavaalee वर्गवाली
vargavaaliyaa वर्गवालियाँ
vargee वर्गी
patanonmukhata पतनोन्मुखत
patanonmukhataa पतनोन्मुखता
aatmeeyatama आत्मीयतम
kakasa कड़कस
punaraalabha पुनरालंभ
varcha वर्च
atiyaanaa अंटियाना
niraalama निरालम
varja वर्ज
vivarja विवर्ज
sammrishti सम्मृष्टि
autaa औँटा
autaaiyo औँटाइयो
autaave औँटावे
autaaee औँटाई
autaakara औँटाकर
autaanaa औँटाना
autaane औँटाने
autaataa औँटाता
autaatee औँटाती
autaate औँटाते
autaae औँटाए
autaaegaa औँटाएगा
autaaegee औँटाएगी
autaaege औँटाएँगे
autaaoo औँटाऊँ
autaaoogaa औँटाऊँगा
autaaoogee औँटाऊँगी
autaaie औँटाइए
autaaiegaa औँटाइएगा
autaaiegee औँटाइएगी
autaao औँटाओ
autaaoge औँटाओगे
autaaogee औँटाओगी
autee औँटीं
aute औँटे
auto औँटो
pramattachitta प्रमत्तचित्त
bahamaaee बहमाई
jenana जेनॉन
eerosa ईरोस
kakaaiyo कड़काइयो
kakaave कड़कावे
kakaaee कड़काई
kakaakara कड़काकर
kakaanaa कड़काना
kakaane कड़काने
kakaataa कड़काता
kakaatee कड़काती
kakaate कड़काते
kakaae कड़काए
kakaaegaa कड़काएगा
kakaaegee कड़काएगी
kakaaege कड़काएँगे
kakaaoo कड़काऊँ
kakaaoogaa कड़काऊँगा
kakaaoogee कड़काऊँगी
kakaaie कड़काइए
kakaaiegaa कड़काइएगा
kakaaiegee कड़काइएगी
kakaaoge कड़काओगे
kakaaogee कड़काओगी
apabheeti अपभीति
jaalaka जालक
jaalakee जालकी
aiktiva ऐक्टिव
aiktivataa ऐक्टिवता
trinamoolo तृणमूलों
upakulapati उपकुलपति
apyaya अप्यय
daalanee डालनी
vivarna विवर्ण
ekavarna एकवर्ण
vivarnataa विवर्णता
ekavarnataa एकवर्णता
vileenana विलीनन
varta वर्त
vivarta विवर्त
varto वर्तों
vartee वर्ती
vivarto विवर्तों
vivartee विवर्ती
vartha वर्थ
niraalasa निरालस
niraalasee निरालसी
yaamyadruma याम्यद्रुम
vardha वर्ध
vardhee वर्धी
chegee चेंगी
bechegee बेचेंगी
pirojana पिरोजन
yudhaaji युधाजि
vrittaatayukta वृत्तांतयुक्त
alavana अलवण
reemana फ़्रीमन
varpha वर्फ
varpho वर्फों
shvanara श्वनर
varba वर्ब
shvaasaheena श्वासहीन
vishvaasaheena विश्वासहीन
shvaasaheenataa श्वासहीनता
vishvaasaheenataa विश्वासहीनता
varma वर्म
varmo वर्मों
varmee वर्मी
varme वर्मे
haaeejaikara हाईजैकर
varya वर्य
varyaa वर्या
laipadaga लैपडॉग
jenarala जेनरल
jenaralo जेनरलों
varra वर्र
lranaa ल्रड़ाना
chalavaa चलवा
chalavaaiyo चलवाइयो
chalavaave चलवावे
chalavaaee चलवाई
chalavaakara चलवाकर
chalavaanaa चलवाना
chalavaane चलवाने
chalavaataa चलवाता
chalavaatee चलवाती
chalavaate चलवाते
chalavaae चलवाए
chalavaaegaa चलवाएगा
chalavaaegee चलवाएगी
chalavaaege चलवाएँगे
chalavaaoo चलवाऊँ
chalavaaoogaa चलवाऊँगा
chalavaaoogee चलवाऊँगी
chalavaaie चलवाइए
chalavaaiegaa चलवाइएगा
chalavaaiegee चलवाइएगी
chalavaao चलवाओ
chalavaaoge चलवाओगे
chalavaaogee चलवाओगी
lekhanika लेखनिक
lekhanikaa लेखनिका
laavaneebaaja लावनीबाज
dalaheena दलहीन
dalaheenataa दलहीनता
makahanaree मॅकहॅनरी
nokaabha नोकाभ
anuvarsha अनुवर्ष
kumudinee कुमुदिनी
varsa वर्स
sthaulya स्थौल्य
varha वर्ह
varhee वर्ही
davaraa डवरा
jaalama जालम
neelasetu नीलसेतु
gulaarisa गुलारिस
shaatanava शांतनव
dharmadeekshaa धर्मदीक्षा
kikara किंकर
kikarataa किंकरता
kikaro किंकरों
kikaree किंकरी
majadooreejanya मजदूरीजन्य
khudaave खुँदावे
khudaakara खुँदाकर
khudaanaa खुँदाना
khudaane खुँदाने
khudaataa खुँदाता
khudaatee खुँदाती
khudaate खुँदाते
khudaae खुँदाए
khudaaegaa खुँदाएगा
khudaaegee खुँदाएगी
khudaaege खुँदाएँगे
khudaaoo खुँदाऊँ
khudaaoogaa खुँदाऊँगा
khudaaoogee खुँदाऊँगी
khudaaie खुँदाइए
khudaaiegaa खुँदाइएगा
khudaaiegee खुँदाइएगी
khudaao खुँदाओ
khudaaoge खुँदाओगे
khudaaogee खुँदाओगी
apashree अपश्री
pirojaa पिरोजा
varaahakraantaa वराहक्रान्ता
prachaalanaatmaka प्रचालनात्मक
shaukataa शौकता
shauko शौकों
jaalava जालव
kavvaana कव्वाण
surajhana सुरझन
surajhanaa सुरझना
jookebaksa जूकेबॉक्स
shaucho शौचों
lebirithodoshiyaa लेबिरिंथोडोंशिया
epiyara एंपियर
havaaeejahaaja हवाईजहाज
pajatanasoochee पंजतनसूची
pajatanasoochiyaa पंजतनसूचियाँ
pajatanasoochio पंजतनसूचिओं
naishavila नैशविल
prajjavalita प्रज्जवलित
tarkaanuroopa तर्कानुरूप
shauta शौट
uchchhileedhra उच्छिलीध्र
salilakriyaa सलिलक्रिया
tainika टैनिक
silahabadee सिलहंबदी
jokhimapoorna जोखिमपूर्ण
sundarakaanda सुन्दरकाण्ड
drishtigatataa दृष्टिगतता
drishtigato दृष्टिगतों
ghetalaa घेंटला
bhaumesha भौमेश
samayochita समयोचित
samayochitataa समयोचितता
samayochito समयोचितों
anujnyaptidhaaree अनुज्ञप्तिधारी
kavvaala कव्वाल
kavvaalo कव्वालों
pushtakaaraka पुष्टकारक
shaudha शौध
raivolyooshana रैवोल्यूशन
asvaarthata अस्वार्थत
nihachaka निहचक
shaupa शौप
jalahaarinee जलहारिणी
deshaparivartana देशपरिवर्तन
jalapaaraavata जलपारावत
shaubha शौभ
svarnayukta स्वर्णयुक्त
gajabasha गंजबख़्श
akaalika अकालिक
jananaavmaa जननाव्मा
ghrinaaspada घृणास्पद
ardhashahara अर्धशहर
vratadhara व्रतधर
guhmapushpa गुह्मपुष्प
tainina टैनिन
nishprayojana निष्प्रयोजन
nishprayojanataa निष्प्रयोजनता
shauva शौव
midavaaipha मिडवाइफ
mayaaee मयाई
valkaru वल्करु
pighalavaanaa पिघलवाना
yajnyashreshtha यज्ञश्रेष्ठ
sataaloo सतालू
peetasaara पीतसार
atarabhimukhee अंतरभिमुखी
sapeshvara सपेंश्वर
sapeshvaro सपेंश्वरों
sapeshvaree सपेंश्वरी
apavaakya अपवाक्य
apavaakyo अपवाक्यों
samarahaausa समरहाउस
agootho अँगूठों
vyaleeka व्यलीक
aachintya आचिन्त्य
amlasaara अम्लसार
amlasaaro अम्लसारों
nihachaya निहचय
kurseenaamaa कुर्सीनामा
udghoorna उद्घूर्ण
tainisa टैनिस
tainisee टैनिसी
nihachala निहचल
pairaashootista पैराशूटिस्ट
madhyonnata मध्योन्नत
itaro फ़ाइटरों
shikshaartha शिक्षार्थ
ghuchadhee घुड़चढी
bhavishyadvaaneeya भविष्यद्वाणीय
loomena लूमेन
mirajaaee मिरजाई
moorchchhaakaaraka मूर्च्छाकारक
vidyaadhiraaja विद्याधिराज
haikelaa हैकेला
svanirvaaha स्वनिर्वाह
saskaarapoorna संस्कारपूर्ण
raamasevaka रामसेवक
nirjharita निर्झरित
karidoro कॉरिडोरों
barnisha बर्निश
sajeelaapana सजीलापन
asthinirmita अस्थिनिर्मित
mulaatiyo मुलाक़ातियों
bigaari बिगारि
dheego धींगों
mayaana मयान
kushapatra कुशपत्र
vyaktinishtha व्यक्तिनिष्ठ
kabaaina कंबाइन
phoolabiraja फूलबिरंज
vyaaptata व्याप्तत
vyaaptataa व्याप्तता
bhaageerathio भागीरथिओं
labaayamaana लंबायमान
labaayamaanataa लंबायमानता
liddaaita लिड्डाइट
jimbaabaveyana जिम्बाबवेयन
gairaaja गैराज
mayaara मयार
varshaika वर्षैक
chitapoornee चिंतपूर्णी
haarashrigaara हारशृंगार
srotasya स्रोतस्य
paritunda परितुण्ड
achetaavasthaa अचेतावस्था
kaumaaryavatee कौमार्यवती
nadghaaee नद्घाई
ashobhita अशोभित
saurasavatsara सौरसंवत्सर
dalavaiyaa दलवैया
koniryaa कोनिर्या
bhoolaheena भूलहीन
bhoolaheenataa भूलहीनता
yaamchottara याम्चोत्तर
sokhaageeree सोखागीरी
kapilaasa कपिलास
mirajaana मिरजान
mirajaanee मिरजानी
chhrittee छृट्टी
chaaryaaka चार्याक
tagarago टगरगोड़ा
kaakasigee काकड़ासिंगी
ahakaaragrasta अहंकारग्रस्त
kanaaraa कनारा
kanaaree कनारी
kanaare कनारे
priyajano प्रियजनों
kreegaara क्रीड़ागार
sarvavaageeshvareshvara सर्ववागीश्वरेश्वर
sarvavaageeshvareshvaree सर्ववागीश्वरेश्वरी
sarvavaageeshvareshvaro सर्ववागीश्वरेश्वरों
sandeepa सन्दीप
vyaapti व्याप्ति
ativyaapti अतिव्याप्ति
arthavyaapti अर्थव्याप्ति
upaayaheena उपायहीन
upaayaheenataa उपायहीनता
saprajita सप्रजित
parnagranthi पर्णग्रन्थि
sopastona सोपस्टोन
paraagada परांगद
paraagado परांगदों
stoodeto स्टूडेंटों
baaku बांकुड़ा
hataahati हताहति
kopanahegana कोपनहेगन
nityajaata नित्यजात
kyooneee क्यूनेई
peetayoothikaa पीतयूथिका
vishadatta विषदत्त
praasagya प्रासंग्य
praasagyo प्रासंग्यों
thurahatha थुरहथ
michira मिचिर
tooara तूअर
peepari पीपरि
diggayada दिग्गयंद
paraagava परांगव
viplavataa विप्लवता
viplavee विप्लवी
trojana ट्रोजन
padaarohita पदारोहित
paraveshma परवेश्म
posh पोष्
upacharita उपचरित
mithyaapratijnya मिथ्याप्रतिज्ञ
ebalo एबलों
baadhaneepauri बाँधनीपौरि
heemiyaagara हीमियागर
ardhasaala अर्धसाल
oshajana ओषजन
uttaraanugaamee उत्तरानुगामी
penitenshiyaree पेनिटेन्शियरी
kameeshadaaaphisara कमीशंडआफिसर
chhaagalaka छागलक
agnisarataka अग्निसरटक
maidolina मैंडोलिन
kachhavee कछवी
edeee एडीए
matsyaragaka मत्स्यरंगक
kshamataanusaara क्षमतानुसार
khatamutaa खटमुता
bhaavaaveshapoorna भावावेशपूर्ण
cheejavastu चीजवस्तु
taraalu तरालु
tunee तुफ़ानी
bastamodaa बस्तमोदा
kaphaalata कफालत
taraaloo तरालू
ebaa एबा
deshamallaara देशमल्लार
raamati रामति
saubhaga सौभग
paadasheelee पादशीली
melaathelaa मेलाठेला
digbhaaga दिग्भाग
vishvaadhikaara विश्वाधिकार
mitrayu मित्रयु
abhiyataautpaadana अभियंताउत्पादन
kshaurakarana क्षौरकरण
sattvaatmaa सत्त्वात्मा
sarodha संरोध
sarodhee संरोधी
sarodho संरोधों
yuddhakaakshaa युद्धकांक्षा
shaakavindaka शाकविन्दक
edeeja एडीज
vyatyaasa व्यत्यास
aadiyukta आदियुक्त
pachaateeya पंचाटीय
atasthartaa अंतस्थर्ता
tippedaara टिप्पेदार
atastharti अंतस्थर्ति
teyara टेयर
teyaro टेयरों
susthaapita सुस्थापित
silvarasha सिल्वरफ़िश
divaaraatra दिवारात्र
majeetha मँजीठ
garumani गरुड़मणि
vivekajnya विवेकज्ञ
aardrataarodhaka आर्द्रतारोधक
geduvaa गेंडुवा
prakriyita प्रक्रियित
aakaaragopana आकारगोपन
kuvaaraa कुवाँरा
gorara गोरख़र
maanita मानित
maanitaa मानिता
maanitataa मानितता
baradhanaa बरधना
sachalakataa संचलकता
chandikaa चन्दिका
dabilaa दबिला
raainosarasa राइनोसरस
saubhara सौभर
saroha संरोह
anagauree अनगौरी
gajanakra गजनक्र
gokulavaasee गोकुलवासी
anvaayuktiyaa अन्वायुक्तियां
vishaalaaksha विशालाक्ष
vishaalaaksho विशालाक्षों
vishaalaakshee विशालाक्षी
aaisoletana आइसोलेटन
pratipakshataa प्रतिपक्षता
pratipaksho प्रतिपक्षों
pratipakshee प्रतिपक्षी
ichchhaayukta इच्छायुक्त
padakraata पदक्रांत
kuchika कुचिक
kuchikaa कुचिका
vinadgha विनद्घ
ketupataakaa केतुपताका
alakritapata अलंकृतपट
saravari सरवरि
naagaloka नागलोक
naagaloko नागलोकों
haaidrophilika हाइड्रोफिलिक
pragateeya प्रगतीय
gajanera गजनेर
prabadhakaaree प्रबंधकारी
maatrigriha मातृगृह
maarovijnaa मारोविज्ना
chupachupaanaa चुपचुपाना
vyaadheeya व्याधीय
nistanee निस्तनी
anaartavata अनार्तवत
anaartavataa अनार्तवता
naamaraasee नामरासी
vaairolajista वाइरोलजिस्ट
bahasabaa बहसबाज़
garishanaamaa गज़ारिशनामा
vreehya व्रीह्य
daaraaee दाराई
vikuchita विकुचित
kini किनिं
avijita अविजित
avijitataa अविजितता
anudvelaka अनुद्वेलक
guphtaara गुफ्तार
udeeyamaana उदीयमान
udeeyamaanataa उदीयमानता
kaarboneteda कार्बोनेटेड
keertigratha कीर्तिग्रंथ
alaso अलफ़ोंसो
meghaheena मेघहीन
meghaheenataa मेघहीनता
bijhakanaa बिझकना
kalaamauli कलामौलि
rudanapoorvaka रुदनपूर्वक
chauvvaa चौव्वा
kameenapana कमीनपन
sacharma सचर्म
jnyaanaprada ज्ञानप्रद
kuchila कुचिल
kuchilaa कुचिला
haaleeya हालीय
bhita भिड़त
bhitaa भिड़ता
bhitee भिड़ती
bhite भिड़ते
raktabhava रक्तभव
mainaskripta मैंनस्क्रिप्ट
ghoyo घोड़ियों
brahmadhaama ब्रह्मधाम
brahmadhaamo ब्रह्मधामों
kahinee कहिनी
heelara हीलर
bhinaa भिड़ना
bhine भिड़ने
jnyaanaprabha ज्ञानप्रभ
aralona अरलोन
aakrithati आकृठति
jnyaanaprama ज्ञानप्रम
vanaprastha वनप्रस्थ
epediksa एपेंडिक्स
metika मेटिक
neelaashee नीलाशी
dvaaragopa द्वारगोप
kaitanipa कैटनिप
mamaleepana मख़मलीपन
staarmee स्टार्मी
bhagavaadhvaja भगवाध्वज
bhagavaadhvajo भगवाध्वजों
gaio गइओं
gaiyaa गइयाँ
eevateera ईवटीज़र
plaikodarma प्लैकोडर्म
anagina अनगिन
anaginaa अनगिना
anaginee अनगिनी
anagine अनगिने
vaametara वामेतर
saitripeetalitee सैंट्रिपीटलिटी
daarunata दारुणत
daarunataa दारुणता
yatrachaalita यंत्रचालित
yatrachaalitataa यंत्रचालितता
parashu परशु
ataprerita अंतःप्रेरित
aatmaneena आत्मनीन
nidaaghavaarshika निदाघवार्षिक
supritendenta सुप्रिटेन्डेन्ट
aphrihilee अफ्रिहिली
aakaaraka आकारक
dhaaraapaata धारापात
dhaaraapaato धारापातों
taitraida टैट्रैड
aayudhaheena आयुधहीन
aayudhaheenataa आयुधहीनता
majupaathaka मंजुपाठक
vaishvedevya वैश्वेदेव्य
bhiiyo भिड़ाइयो
bhiee भिड़ाई
bhikara भिड़ाकर
bhie भिड़ाए
bhiegaa भिड़ाएगा
bhiegee भिड़ाएगी
bhiege भिड़ाएँगे
bhioo भिड़ाऊँ
bhioogaa भिड़ाऊँगा
bhioogee भिड़ाऊँगी
bhiie भिड़ाइए
bhiiegaa भिड़ाइएगा
bhiiegee भिड़ाइएगी
bhio भिड़ाओ
bhioge भिड़ाओगे
bhiogee भिड़ाओगी
jaatinikaalaa जातिनिकाला
aanadotkarsha आनंदोत्कर्ष
aanadotkarsho आनंदोत्कर्षों
aakaareetha आकारीठ
sphaati स्फाति
auchityakaaprashna औचित्यकाप्रश्न
arakaasaara अरकासार
punarutbhoota पुनरुत्भूत
aatmaneeya आत्मनीय
tagaalaga टगालग
budakiyaa बुंदकियां
chitrakara चित्रकर
trikaaya त्रिकाय
gaileekraiksa गैलीक्रैक्स
daaunataauna डाउनटाउन
latoraa लटोरा
latore लटोरे
aadharana आधरण
trikaala त्रिकाल
trikaalo त्रिकालों
gacha गच
gachiyo गचियो
gacho गचो
gachoge गचोगे
gachogee गचोगी
gache गचे
gachegee गचेगी
gachegaa गचेगा
gachege गचेंगे
gachoo गचूँ
gachoogee गचूँगी
gachoogaa गचूँगा
gachee गची
gachie गचिए
gachiegee गचिएगी
gachiegaa गचिएगा
gachane गचने
gachanaa गचना
gachate गचते
gachatee गचती
gachataa गचता
gachakara गचकर
deepapaadapa दीपपादप
samaachayana समाचयन
dharmapradhaana धर्मप्रधान
kashmeeraja कश्मीरज
gachha गछ
aadhaarabhootata आधारभूतत
aadhaarabhootataa आधारभूतता
gajataa गजता
gajo गजों
gajaa गजा
gajee गजी
gaje गजे
poorvajnyaanapoorna पूर्वज्ञानपूर्ण
shuddhamanaska शुद्धमनस्क
shuddhamanaskataa शुद्धमनस्कता
avaapita अवापित
joshaka जोषक
mahaaahi महाअहि
aakaarana आकारण
sarvabhootapitaamaha सर्वभूतपितामह
abhootapoorvata अभूतपूर्वत
abhootapoorvataa अभूतपूर्वता
gatee गटी
teerthaka तीर्थक
gathiyo गठियो
gatho गठो
gathoge गठोगे
gathogee गठोगी
gathe गठे
gathegee गठेगी
gathegaa गठेगा
gathege गठेंगे
gathoo गठूँ
gathoogee गठूँगी
gathoogaa गठूँगा
gathee गठी
gathie गठिए
gathiegee गठिएगी
gathiegaa गठिएगा
gathane गठने
gathanaa गठना
gathate गठते
gathatee गठती
gathataa गठता
gathakara गठकर
gathaa गठा
vipratisaara विप्रतिसार
vipratisaaree विप्रतिसारी
gadane गडने
gado गडों
sootraata सूत्रांत
palimeresa पॉलिमेरेस
oorjaka ऊर्जक
jeevanayaapano जीवनयापनों
taamralipti ताम्रलिप्ति
gadhiyo गढियो
gadhoge गढोगे
gadhogee गढोगी
gadhegee गढेगी
gadhegaa गढेगा
gadhege गढेंगे
gadhoo गढूँ
gadhoogee गढूँगी
gadhoogaa गढूँगा
gadhie गढिए
gadhiegee गढिएगी
gadhiegaa गढिएगा
gadhanaa गढना
gadhate गढते
gadhatee गढती
gadhataa गढता
gadhakara गढकर
baatala बाटल
baatalee बाटली
suratonmatta सुरतोन्मत्त
phusaphusaahata फुसफुसाहट
ganane गणने
aakaareeya आकारीय
aakaareeyataa आकारीयता
vijavala विजवल
gatataa गतता
gate गते
deedeeaara डीडीआर
aakramanaheena आक्रमणहीन
aakramanaheenataa आक्रमणहीनता
abhitaapa अभिताप
abhitaapo अभितापों
akshamita अक्षमित
ganavaalee गनवाली
ganavaaliyaa गनवालियाँ
gane गने
ganavaalaa गनवाला
ganavaale गनवाले
srugjihva स्रुग्जिह्व
samayataalikaa समयतालिका
vaakyabaana वाक्यबाण
sthoolanaasa स्थूलनास
shatpaateeya षट्पाटीय
abhitaabha अभिताभ
gapa गप
gapo गपों
raasalaanu रासलानुफ़
joshanaa जोषणा
gapha गफ
praatijnya प्रातिज्ञ
praatijnyo प्रातिज्ञों
laagatajanya लागतजन्य
navadhanika नवधनिक
navadhaniko नवधनिकों
gabha गभ
agati अंगति
gamataa गमता
gamo गमों
gamee गमी
nakele नकेलें
nakelo नकेलों
phuphsa फुफ्फ़ुस
prabhaati प्रभाति
shilpakaaragana शिल्पकारगण
ainimalsa ऐनिमल्स
kaashika काशिक
kaashikaa काशिका
kusheenaara कुशीनार
laataviaavaasa लातविआवास
laataviaavaasee लातविआवासी
laataviaavaasinee लातविआवासिनी
laataviaavaasiyo लातविआवासियों
mahaarakshaa महारक्षा
teerthada तीर्थद
pujauraa पुजौरा
baagala बागल
naagalee नागली
baagalee बागली
jaduraai जदुराइ
pautradaayini पौत्रदायिनि
tatvajnyaanaartha तत्वज्ञानार्थ
oorjana ऊर्जन
renvaara रेन्वार
gavee गवी
punyavaana पुण्यवान
jalaatanka जलातन्क
gasha गश
gasho गशों
rakaanaa रड़काना
gasa गस
begasa बेगस
aagasa आगस
gahiyo गहियो
gahoge गहोगे
gahogee गहोगी
gahegee गहेगी
gahegaa गहेगा
gahege गहेंगे
gahoo गहूँ
gahoogee गहूँगी
gahoogaa गहूँगा
gahie गहिए
gahiegee गहिएगी
gahiegaa गहिएगा
gahate गहते
gahatee गहती
gahataa गहता
gahakara गहकर
oorjama ऊर्जम
grihadaaha गृहदाह
grihadaaho गृहदाहों
grihadaahee गृहदाही
shavakaamya शवकाम्य
napustva नपुंस्त्व
gaaiyo गाइयो
gaave गावे
gaaegaa गाएगा
gaaegee गाएगी
gaaege गाएँगे
gaaoo गाऊँ
gaaoogaa गाऊँगा
gaaoogee गाऊँगी
gaaie गाइए
gaaiegaa गाइएगा
gaaiegee गाइएगी
gaaoge गाओगे
gaaogee गाओगी
kaalakuja कालकुंज
vaaleeshaana वालीशान
gi गि
begi बेगि
begine बेगिने
bachatapoorvaka बचतपूर्वक
doaa दोआ
vaapakrimi वापकृमि
doi दोइ
tvagjala त्वग्जल
kaalakutha कालकुंठ
vashakramaanugata वंशक्रमानुगत
dou दोउ
kareeraka करीरक
dhangga ढङ्ग
avaraja अवरज
kaashipa काशिप
karunaanidhaana करुणानिधान
dobharee डोभरी
aaprakaashita आप्रकाशित
apaaharaka अपाहरक
jaduraaja जदुराज
sattaashaalitaa सत्ताशालिता
jaatibhaaee जातिभाई
vidyudanu विद्युदणु
madyaprema मद्यप्रेम
madyapremee मद्यप्रेमी
avarana अवरण
drilaya दृढ़ालय
madikukkura मंदिकुक्कुर
praveshapatra प्रवेशपत्र
praveshapatro प्रवेशपत्रों
avarata अवरत
avarataa अवरता
avarato अवरतों
nograa फ़ोनोग्राफ़
sataanotpaadana संतानोत्पादन
maarorsaaga माज़ारोर्सांग
tadartho तदर्थों
beresha बेरेश
chapaavata चंपावत
palivinaayala पॉलिविनायल
prijma प्रिज्म
musarima मुंसरिम
musarimee मुंसरिमी
kootapanakaaraka कूटपणकारक
eesaavataana ईसावतान
ashaasaneeya अशासनीय
chitrastha चित्रस्थ
koshthaagaarika कोष्ठागारिक
dogha दोघ
aloga अलोंग
grihayudgha गृहयुद्घ
hamaumra हमउम्र
hamaumree हमउम्री
apaaharana अपाहरण
kameyara कमेयर
grihaashrama गृहाश्रम
dalaka दलक
dalakane दलकने
dalako दलकों
dalakaa दलका
dalakee दलकी
dalake दलके
sidhiyo सिंधियों
oshana ओशन
nigharsha निघर्ष
nigharsho निघर्षों
jaduraama जदुराम
mahimaavaana महिमावान
pratyaanayana प्रत्यानयन
pratyaanayano प्रत्यानयनों
kadhee कढी
jaduraaya जदुराय
varivasita वरिवसित
ashayyaashaayee अशय्याशायी
nayanaputa नयनपुट
alepaka अलेपक
raukiga रौकिंग
apashchaattaapa अपश्चात्ताप
apashchaattaapee अपश्चात्तापी
devahatyaa देवहत्या
priyarana प्रियरण
aaidiyola आइडियोलॉज़ी
chhohanaa छोहना
dodha दोध
dodhee दोधी
pagaaseenaana पंगासीनान
aayurvaidika आयुर्वैदिक
grihayuddho गृहयुद्धों
nahushya नहुष्य
donee दोनी
done दोने
ooparokta ऊपरोक्त
hega हेग
kaarayaatraa कारयात्रा
uchcharita उच्चरित
nakshaabada नक्शाबंद
nakshaabado नक्शाबंदों
masookha मंसूख
masookhee मंसूखी
sahartaa संहर्ता
karpooramani कर्पूरमणि
shanapasada फ़ैशनपसंद
shanapasadee फ़ैशनपसंदी
hecha हेच
aipisalsa ऐपिसल्स
bechana बेचन
bechanee बेचनी
varnanaateeta वर्णनातीत
varnanaateetataa वर्णनातीतता
paathanidhi पाथनिधि
paathanidhiyaa पाथनिधियाँ
paathanidhio पाथनिधिओं
doya दोय
yooala फ़्यूअल
kartavyataa कर्तव्यता
vriddhashravaa वृद्धश्रवा
vidalana विदलन
dalano दलनों
vidalano विदलनों
hetee हेटी
hetha हेठ
vihetha विहेठ
vakragulpha वक्रगुल्फ
dalapa दलप
hedo हेडों
hedaa हेडा
svasthata स्वस्थत
ulajhanavaalee उलझनवाली
asahachara असहचर
adhikaareelaaisesa अधिकारीलाइसेंस
khichaanaa खिंचाना
khichaane खिंचाने
paadapatha पादपथ
dalama दलम
sthiramanaa स्थिरमना
selibreshana सेलिब्रेशन
doshakartaa दोषकर्ता
doshaa दोषा
doshe दोषे
mahaadurgaa महादुर्गा
minaaina फ़ैमिनाइन
dohataa दोहता
dohee दोही
maargapatra मार्गपत्र
kloroplaasta क्लोरोप्लास्ट
hena हेन
heno हेनों
henaa हेना
lacharooma लंचरूम
chaadiyana चाडियन
mahaabaleshvara महाबलेश्वर
